time,GX,GY,GZ
1564014300000,-1.3800000000000001,-0.05333333333333334,-1.32
1564014360000,-1.45,0.16,-1.22
1564014420000,-1.185,0.13,-1.155
1564014480000,-1.5299999999999998,0.024999999999999994,-1.085
1564014540000,-1.1500000000000001,-0.011999999999999997,-1.182
1564014600000,-1.3,-0.08499999999999999,-1.275
1564014660000,-1.23,0.10500000000000001,-1.18
1564014720000,-1.36,-0.08,-1.36
1564014780000,-1.452,0.15200000000000002,-1.19
1564014840000,-1.2799999999999998,0.30333333333333334,-1.3133333333333332
1564014900000,-1.58,0.29,-1.21
1564014960000,-1.4300000000000002,-0.175,-1.27
1564015020000,-1.3599999999999999,0.030000000000000013,-1.1666666666666667
1564015080000,-1.4654545454545453,0.05272727272727273,-1.3445454545454545
1564015140000,-1.315,-0.12,-1.0933333333333333
1564015200000,-1.5,0.14500000000000002,-1.38
1564015260000,-1.27,-0.29,-1.09
1564015320000,-1.4866666666666666,0.05000000000000002,-1.2866666666666666
1564015380000,-1.33,0.10333333333333333,-1.2333333333333334
1564015440000,-1.39,-0.01,-1.31
1564015500000,-1.4276,0.15,-1.3614814814814815
1564015560000,-1.2433333333333334,-0.05333333333333335,-1.166
1564015620000,-1.3050000000000002,-0.065,-1.1400000000000001
1564015680000,-1.56,0.09,-1.38
1564015740000,-1.3533333333333335,0.06999999999999999,-1.33
1564015800000,-1.63,0.16,-1.24
1564015860000,-1.2650000000000001,0.10999999999999999,-1.29
1564015920000,-1.3450000000000002,0.034,-1.206
1564015980000,-1.35,0.28,-1.3900000000000001
1564016040000,-1.34,0.12,-1.06
1564016100000,-1.43,0.08,-1.11
1564016160000,-1.44,0.11666666666666667,-1.3766666666666667
1564016220000,-1.47,0.01,-1.0
1564016280000,-1.2928571428571427,0.011428571428571429,-1.207142857142857
1564016340000,-1.43,0.16,-1.35
1564016400000,-1.225,-0.003333333333333334,-1.3
1564016460000,-1.5066666666666668,0.11666666666666667,-1.1933333333333334
1564016520000,-1.38,0.1,-1.1
1564016580000,-1.42,0.05,-1.155
1564016640000,-1.4433333333333334,0.04666666666666665,-1.2333333333333334
1564016700000,-1.48,0.03,-1.29
1564016760000,-1.4,0.13,-1.04
1564016820000,-1.16,-0.1,-1.04
1564016880000,-1.49,0.02,-1.16
1564016940000,-1.2966666666666666,0.10333333333333333,-1.1166666666666667
1564017000000,-1.38,0.06,-1.04
1564017060000,-1.2999999999999998,0.06499999999999999,-1.29
1564017120000,-1.565,0.095,-1.275
1564017180000,-1.145,0.08,-1.3250000000000002
1564017240000,-1.42,0.02500000000000001,-1.2999999999999998
1564017300000,-1.3250000000000002,0.15499999999999997,-1.2416666666666667
1564017360000,-1.31,0.155,-1.3050000000000002
1564017420000,-1.28,0.16,-1.43
1564017480000,-1.58,-0.08666666666666667,-1.27
1564017540000,-1.3366666666666667,0.05,-1.0033333333333334
1564017600000,-1.6333333333333333,0.08000000000000002,-1.1166666666666667
1564017660000,-1.415,0.055,-1.19
1564017720000,-1.27,-0.02999999999999997,-1.2133333333333334
1564017780000,-1.47,0.05,-1.15
1564017840000,-1.39,0.09428571428571429,-1.2871428571428571
1564017900000,-1.355,0.085,-1.165
1564017960000,-1.3399999999999999,0.125,-1.275
1564018020000,-1.26,0.02,-1.18
1564018080000,-1.34,-0.03,-1.21
1564018140000,-1.462,-0.08,-1.21
1564018200000,-1.3275000000000001,-0.13,-1.3250000000000002
1564018260000,-1.26,0.27,-1.22
1564018320000,-1.32,-0.09499999999999997,-1.19
1564018380000,-1.208,0.154,-1.05
1564018440000,-1.44,0.21545454545454545,-1.3136363636363637
1564018500000,-1.22,-0.09,-1.34
1564018560000,-1.5,-0.11,-1.12
1564018620000,-1.38,0.06,-1.18
1564018680000,-1.4100000000000001,0.1,-1.25
1564018740000,-1.4,0.15666666666666668,-0.85
1564018800000,-1.3836363636363638,0.13799999999999998,-1.474
1564018860000,-1.31,-0.05,-1.23
1564018920000,-1.3266666666666667,-0.09666666666666668,-1.31
1564018980000,-1.4333333333333333,0.15000000000000002,-1.3033333333333332
1564019040000,-1.42,0.18333333333333335,-1.395
1564019100000,-1.52,0.08,-1.24
1564019160000,-1.455,0.04999999999999999,-1.215
1564019220000,-1.4166666666666667,0.05,-1.27
1564019280000,-1.38,0.1,-1.1
1564019340000,-1.175,0.07,-1.27
1564019400000,-1.2833333333333332,0.14,-1.175
1564019460000,-1.4849999999999999,0.115,-1.115
1564019520000,-1.16,0.06,-1.16
1564019580000,-1.2808,0.14125,-1.1975
1564019640000,-1.37,0.03,-1.21
1564019700000,-1.27,0.05,-1.24
1564019760000,-1.375,-0.025,-1.3966666666666667
1564019820000,-1.3133333333333332,-0.12333333333333332,-1.2066666666666668
1564019880000,-1.33,-0.010000000000000009,-1.275
1564019940000,-1.5366666666666666,0.03666666666666668,-1.13
1564020000000,-1.3250000000000002,0.19,-1.2799999999999998
1564020060000,-1.42,-0.04,-1.38
1564020120000,-1.3699999999999999,-0.03333333333333334,-1.2366666666666666
1564020180000,-1.07,-0.013333333333333336,-1.35
1564020240000,-1.5566666666666666,-0.006666666666666666,-1.05
1564020300000,-1.29,0.16,-1.24
1564020360000,-1.4100000000000001,0.225,-1.1
1564020420000,-1.34,-0.18,-1.3
1564020480000,-1.37,0.06333333333333332,-1.2333333333333332
1564020540000,-1.2866666666666666,0.06999999999999999,-1.32
1564020600000,-1.3933333333333333,0.14666666666666667,-1.1233333333333333
1564020660000,-1.325,0.005,-1.18
1564020720000,-1.44,-0.08,-1.23
1564020780000,-1.3404347826086958,0.06930434782608696,-1.1423478260869564
1564020840000,-1.4186956521739131,0.06408695652173912,-1.0849565217391304
1564020900000,-1.44,0.07,-1.3599999999999999
1564020960000,-1.24,0.27,-1.37
1564021020000,-1.3733333333333333,0.07,-1.3399999999999999
1564021080000,-1.29,-0.02,-1.12
1564021140000,-1.3833333333333333,0.07333333333333333,-1.37
1564021200000,-1.31,-0.07,-1.22
1564021260000,-1.42,0.09,-1.31
1564021320000,-1.385,-0.065,-1.2000000000000002
1564021380000,-1.4100000000000001,0.075,-1.28
1564021440000,-1.48,-0.03,-1.28
1564021500000,-1.23,0.11,-1.15
1564021560000,-1.18,0.11,-1.27
1564021620000,-1.65,0.09333333333333334,-1.0999999999999999
1564021680000,-1.25,-0.10500000000000001,-1.1066666666666667
1564021740000,-1.32,-0.043333333333333335,-1.2066666666666666
1564021800000,-1.4666666666666668,0.0,-1.1333333333333333
1564021860000,-1.2666666666666666,0.013333333333333332,-1.2666666666666666
1564021920000,-1.37,-0.02,-1.21
1564021980000,-1.41,0.02,-1.12
1564022040000,-1.427894736842105,-0.07488721804511278,-1.1184962406015038
1564022100000,-1.3963157894736842,0.0018045112781954892,-1.0959398496240602
1564022160000,-1.3647368421052632,0.07849624060150374,-1.0733834586466167
1564022220000,-1.3933333333333333,0.020000000000000004,-1.28
1564022280000,-1.3833333333333333,0.11333333333333333,-1.37
1564022340000,-1.28,0.01666666666666667,-1.17
1564022400000,-1.52,1.3877787807814457e-17,-1.03
1564022460000,-1.3450000000000002,0.1,-1.3920000000000001
1564022520000,-1.3666666666666667,0.18,-1.3833333333333333
1564022580000,-1.364,0.09,-1.33
1564022640000,-1.44,0.08,-1.21
1564022700000,-1.37,0.08,-1.25
1564022760000,-1.330909090909091,-0.021538461538461562,-1.5146153846153845
1564022820000,-1.3809090909090909,0.14181818181818182,-1.3427272727272728
1564022880000,-1.13,0.05,-1.14
1564022940000,-1.395,-0.03333333333333333,-1.2933333333333334
1564023000000,-1.44,0.1,-1.43
1564023060000,-1.33,0.12,-1.45
1564023120000,-1.4,0.13,-1.2149999999999999
1564023180000,-1.1866666666666665,0.09000000000000001,-1.03
1564023240000,-1.21,0.06,-1.31
1564023300000,-1.3,0.009090909090909092,-1.2627272727272727
1564023360000,-1.495,-0.01,-1.135
1564023420000,-1.275,0.18666666666666668,-1.32
1564023480000,-1.2,0.115,-1.245
1564023540000,-1.1600000000000001,0.006666666666666668,-1.2266666666666666
1564023600000,-1.39,-0.19333333333333333,-1.1366666666666667
1564023660000,-1.3266666666666667,0.06333333333333332,-1.2566666666666666
1564023720000,-1.47,-0.11,-1.25
1564023780000,-1.3531034482758622,0.041077586206896555,-1.3286206896551724
1564023840000,-1.456551724137931,0.04366379310344828,-1.3493103448275863
1564023900000,-1.56,0.04625,-1.3699999999999999
1564023960000,-1.663448275862069,0.04883620689655173,-1.3906896551724137
1564024020000,-1.38,-0.08,-1.34
1564024080000,-1.4,0.08,-1.31
1564024140000,-1.33,-0.016666666666666677,-1.1966666666666665
1564024200000,-1.315,-0.030000000000000013,-1.31
1564024260000,-1.36,-0.17,-1.3
1564024320000,-1.31,-0.08,-1.48
1564024380000,-1.4,0.11199999999999999,-1.4524
1564024440000,-1.28,0.01,-1.06
1564024500000,-1.62,0.02,-1.56
1564024560000,-1.38,0.09,-1.22
1564024620000,-1.358,-0.1582142857142857,-1.060357142857143
1564024680000,-1.2445454545454546,0.1527272727272727,-1.4436363636363636
1564024740000,-1.52,0.135,-1.19
1564024800000,-1.3466666666666667,-0.016666666666666663,-1.34
1564024860000,-1.33,0.17,-1.15
1564024920000,-1.34,-0.11000000000000001,-1.1749999999999998
1564024980000,-1.4,0.003333333333333334,-1.2233333333333334
1564025040000,-1.3833333333333333,0.16,-1.2742857142857142
1564025100000,-1.3125,0.042499999999999996,-1.23
1564025160000,-1.2675,-0.014000000000000012,-1.385
1564025220000,-1.315,0.035,-1.3
1564025280000,-1.3675000000000002,-0.015,-1.21
1564025340000,-1.3,0.05,-1.13
1564025400000,-1.4700000000000002,0.13,-1.31
1564025460000,-1.4,0.11,-1.23
1564025520000,-1.355,0.0,-1.1715384615384616
1564025580000,-1.33,0.23,-1.27
1564025640000,-1.34,-0.02,-1.05
1564025700000,-1.3166666666666667,0.023333333333333334,-1.3133333333333332
1564025760000,-1.2833333333333334,0.08666666666666667,-1.39
1564025820000,-1.2566666666666668,0.016666666666666663,-1.06
1564025880000,-1.1733333333333333,-0.02,-1.03
1564025940000,-1.36,-0.03,-1.17
1564026000000,-1.3864473684210528,0.14710526315789474,-1.3439473684210526
1564026060000,-1.425921052631579,0.06815789473684211,-1.233421052631579
1564026120000,-1.4653947368421052,-0.010789473684210515,-1.1228947368421054
1564026180000,-1.25,0.08666666666666668,-1.1633333333333333
1564026240000,-1.51,-0.06666666666666665,-1.16
1564026300000,-1.5233333333333334,-0.023333333333333345,-1.1033333333333333
1564026360000,-1.38,0.07,-1.255
1564026420000,-1.33,0.03666666666666667,-1.2933333333333334
1564026480000,-1.46,0.030000000000000002,-1.26
1564026540000,-1.375,0.025,-1.345
1564026600000,-1.4,0.04,-1.2
1564026660000,-1.18,-0.04,-1.18
1564026720000,-1.385,-0.025,-1.3
1564026780000,-1.15,0.08499999999999999,-1.1099999999999999
1564026840000,-1.42,-0.0049999999999999906,-1.065
1564026900000,-1.2733333333333332,-0.09,-1.2666666666666666
1564026960000,-1.5033333333333334,0.06833333333333333,-1.1166666666666667
1564027020000,-1.412,0.13799999999999998,-1.1453846153846154
1564027080000,-1.42,-0.01999999999999999,-1.375
1564027140000,-1.39,-0.03,-1.28
1564027200000,-1.2733333333333332,0.12000000000000001,-1.2566666666666666
1564027260000,-1.63,-0.06999999999999999,-1.2566666666666668
1564027320000,-1.3266666666666667,0.06666666666666667,-1.2233333333333334
1564027380000,-1.2045454545454546,0.04384615384615385,-1.113076923076923
1564027440000,-1.22,0.08,-1.02
1564027500000,-1.3499999999999999,-0.1,-1.18
1564027560000,-1.46,0.21,-1.33
1564027620000,-1.27,-0.11,-1.24
1564027680000,-1.4649999999999999,-0.025,-1.24
1564027740000,-1.3985714285714286,0.02457142857142857,-1.2517142857142858
1564027800000,-1.3128571428571427,0.05885714285714286,-1.1145714285714285
1564027860000,-1.2284,0.017599999999999998,-1.1012
1564027920000,-1.42,0.12,-1.375
1564027980000,-1.315,-0.035,-1.1949999999999998
1564028040000,-1.16,-0.02666666666666667,-1.1333333333333333
1564028100000,-1.38,-0.02,-1.24
1564028160000,-1.28,0.08,-1.44
1564028220000,-1.45,0.02,-1.06
1564028280000,-1.4333333333333333,0.19999999999999998,-1.2233333333333334
1564028340000,-1.315,0.015000000000000003,-1.1600000000000001
1564028400000,-1.2366666666666668,0.03666666666666667,-1.335
1564028460000,-1.17,0.03,-1.02
1564028520000,-1.356923076923077,0.078,-1.1340000000000001
